workout_days,sleep_hours,steps_per_day,bmi,age,resting_hr,fitness_level
4,7.7,17247,23.5,38,81,High
0,5.7,19605,31.2,16,53,High
0,7.6,7639,23.8,28,76,High
6,5.4,1056,19.0,20,75,High
6,8.8,1542,29.9,22,90,High
6,6.5,15635,16.5,29,66,High
7,4.8,10572,20.3,20,75,High
5,4.1,17503,25.8,47,85,High
6,4.6,3775,24.5,25,77,High
3,8.1,16180,17.7,57,70,High
7,9.6,9322,19.4,58,78,High
0,9.5,7672,30.8,40,64,High
2,8.4,19373,28.7,24,50,High
4,8.8,17841,32.4,48,90,High
1,6.3,7983,30.5,54,73,Medium
0,4.8,4889,28.5,48,77,Low
1,5.6,2692,26.1,38,86,Low
3,9.7,3852,18.9,38,60,High
1,7.6,9486,28.4,44,81,High
3,8.6,2444,34.3,32,88,Medium
5,4.4,3200,17.9,50,78,Medium
7,6.7,12121,30.6,54,70,High
0,9.2,6562,28.3,49,74,Medium
3,6.3,6306,22.1,53,65,High
7,5.3,14319,30.0,50,88,High
7,7.2,3534,31.2,29,70,High
3,4.3,11486,32.2,23,71,High
1,6.2,16073,21.4,20,87,High
0,9.0,7684,24.1,50,53,High
6,7.5,8288,31.9,56,60,High
2,7.9,13671,29.2,32,66,High
6,6.5,2589,25.6,17,73,High
1,8.1,18371,32.2,46,55,High
4,7.1,3428,33.6,50,60,Medium
7,9.9,11432,22.8,31,81,High
3,4.3,3359,24.6,38,87,Medium
0,7.0,6031,23.6,46,85,Medium
0,9.9,9002,29.2,55,87,Medium
5,4.7,1057,29.1,39,90,Medium
7,6.3,13756,30.9,35,84,High
3,8.5,19557,34.2,32,75,High
7,5.5,14456,28.5,32,68,High
3,6.6,4999,31.8,45,54,Medium
3,6.6,3260,20.6,26,56,High
3,6.2,3238,31.6,27,59,Medium
6,6.3,1331,22.7,49,89,High
3,9.3,9123,21.1,45,80,High
1,5.1,10921,26.2,44,80,Medium
6,5.8,19794,20.6,18,60,High
4,5.6,9654,16.2,43,78,High
5,5.1,1567,23.5,18,71,High
1,5.9,19223,22.9,21,89,High
0,8.3,17074,29.7,52,88,High
5,7.7,13373,34.1,39,74,High
0,4.2,18143,16.2,17,83,High
4,8.0,6200,22.9,48,65,High
5,7.1,18136,16.5,43,58,High
6,4.4,4880,26.4,54,52,High
4,6.9,3428,20.4,32,79,High
6,8.3,19134,21.2,60,70,High
6,9.2,3883,21.5,22,60,High
6,8.0,12267,34.5,44,76,High
0,5.4,5846,23.5,35,79,Medium
7,5.2,19253,30.8,41,52,High
0,5.4,9341,19.7,51,79,Medium
0,6.3,10493,29.4,33,56,High
4,4.5,12163,34.5,18,69,High
2,5.0,10571,23.7,34,61,High
5,5.7,14241,27.7,32,55,High
6,7.8,11492,26.0,42,68,High
7,8.8,9948,34.4,23,73,High
3,7.4,17815,30.5,31,54,High
5,4.7,8269,22.0,58,68,High
7,4.5,14625,18.5,46,63,High
3,4.7,17407,18.8,17,80,High
2,9.4,7966,26.5,45,84,High
3,4.1,12092,21.1,45,78,High
4,8.0,19762,31.8,40,59,High
5,8.8,11936,22.5,26,73,High
7,8.7,7468,27.5,15,78,High
4,4.8,19315,32.9,27,89,High
5,8.2,17630,18.4,35,52,High
6,6.4,4224,23.0,52,88,High
3,8.1,14754,16.1,58,58,High
5,8.3,4138,20.5,39,55,High
0,5.3,14768,16.9,42,78,High
7,9.7,3111,26.5,44,85,High
1,9.7,15984,34.4,49,63,High
3,7.5,4588,32.0,23,63,High
6,10.0,9247,34.2,48,61,High
4,4.5,7262,33.3,40,62,Medium
7,7.0,17332,23.1,50,82,High
5,6.3,11728,23.2,57,54,High
7,7.4,6797,26.0,22,79,High
7,8.0,11789,30.4,55,65,High
1,9.1,12726,31.6,30,75,High
4,9.7,3458,18.7,26,83,High
7,7.7,15508,17.3,57,80,High
4,5.1,11699,33.7,19,58,High
7,7.5,1985,33.2,34,73,High
7,9.5,15691,16.2,50,72,High
0,5.4,3805,20.0,58,60,Low
5,7.8,2169,17.0,54,61,High
2,7.4,7067,20.0,44,82,High
1,7.4,9085,18.6,23,67,High
7,8.7,5620,16.3,31,68,High
1,9.2,12843,28.7,26,77,High
3,5.5,11503,28.7,39,64,High
1,7.9,11909,32.0,41,53,High
5,6.1,6795,16.6,43,55,High
5,5.5,13482,23.8,59,76,High
2,4.8,2164,23.4,17,72,Medium
3,5.6,9974,32.1,45,52,High
3,7.2,16653,19.7,60,73,High
7,5.4,7331,16.1,27,55,High
3,8.4,6514,23.9,50,53,High
5,5.3,10704,32.8,18,77,High
3,7.5,19839,18.0,22,60,High
1,6.6,1872,31.5,25,70,Medium
2,5.7,16724,30.5,35,79,High
2,4.5,4687,32.3,53,86,Low
7,9.2,6305,27.5,26,75,High
6,5.4,3898,30.6,29,77,High
7,9.3,7814,22.4,36,86,High
4,7.9,1351,29.8,42,71,Medium
2,8.3,13761,16.5,52,82,High
2,9.0,5684,31.0,34,70,High
5,7.7,10817,27.4,30,53,High
4,7.4,19098,29.2,16,85,High
3,7.9,15749,21.0,34,72,High
3,9.5,12276,16.7,25,55,High
1,9.1,16777,34.7,24,62,High
5,5.6,11412,30.8,41,78,High
7,5.7,16321,25.4,60,77,High
2,9.1,6808,24.2,35,69,High
6,4.8,9689,23.4,37,89,High
2,9.5,4932,31.3,17,61,High
0,7.3,16027,31.7,34,77,High
3,7.0,9816,25.2,29,59,High
3,10.0,4744,31.7,43,55,High
1,5.1,1010,34.5,17,60,Low
4,9.0,5265,30.7,28,64,High
6,4.5,3212,25.3,26,82,High
7,5.4,10194,33.0,58,77,High
2,8.0,5931,27.9,51,58,High
1,8.3,17662,25.9,48,61,High
4,7.7,11543,24.6,36,53,High
1,5.7,9314,22.6,50,61,High
7,9.7,8441,25.9,25,84,High
7,9.6,3001,26.8,19,86,High
4,4.5,10909,32.8,47,84,High
2,5.4,19413,26.8,54,52,High
5,5.8,14141,16.7,31,76,High
6,7.9,4583,17.6,38,75,High
7,6.3,5531,32.2,22,77,High
7,5.9,7828,30.4,32,75,High
0,4.0,11297,20.3,48,86,Medium
5,5.6,5100,23.9,45,77,High
6,4.9,19063,24.2,60,65,High
4,6.3,14888,31.8,35,71,High
7,6.0,11606,31.0,17,66,High
7,6.9,2386,29.4,19,72,High
4,5.4,5974,32.1,42,70,Medium
7,6.7,14073,30.7,48,73,High
2,9.5,16697,23.3,17,64,High
4,6.5,14539,31.1,47,57,High
3,6.8,6729,29.6,57,78,Medium
4,4.5,12508,26.9,31,77,High
5,9.9,2078,22.8,54,87,High
0,4.2,4848,33.8,59,80,Low
7,7.8,9035,25.3,49,56,High
6,4.5,13176,16.5,35,68,High
6,8.9,7132,23.5,26,78,High
6,7.9,11560,25.2,52,65,High
3,7.5,19310,28.6,44,56,High
5,9.2,9070,22.1,37,55,High
4,9.1,1407,31.4,24,79,High
4,4.7,11770,22.9,23,84,High
1,9.0,16256,19.0,28,71,High
7,8.6,17290,20.2,48,68,High
7,6.3,16616,18.6,59,58,High
6,4.1,2348,27.6,55,69,Medium
5,9.3,7698,31.8,26,71,High
0,9.8,4189,18.1,21,71,High
2,6.7,13288,17.6,50,65,High
7,5.0,6107,27.3,34,82,High
7,9.1,10032,21.2,35,76,High
6,5.8,3440,21.6,38,89,High
3,6.0,7380,20.7,55,89,High
5,6.4,10716,29.7,28,61,High
0,9.2,13078,23.8,54,77,High
4,8.0,13879,28.7,36,78,High
0,5.2,2100,18.1,34,82,Low
0,5.4,2263,29.7,54,90,Low
1,6.3,12076,26.6,32,90,High
5,4.3,9191,16.1,20,84,High
5,4.6,12564,23.1,24,51,High
1,4.5,2276,34.9,15,85,Low
1,7.5,9835,25.6,36,66,High
4,8.1,5534,30.5,18,62,High
2,6.7,14326,33.8,25,70,High
6,9.4,16577,24.9,39,77,High
2,8.5,8042,33.2,56,68,High
2,8.5,14921,26.7,47,52,High
1,6.5,16128,25.2,16,79,High
2,8.4,10865,34.8,31,81,High
5,7.3,3008,21.9,30,63,High
3,7.0,7192,33.2,24,78,High
7,7.0,3726,17.3,46,61,High
5,5.2,12171,29.6,38,68,High
2,7.3,16951,24.5,53,61,High
7,9.0,6447,26.5,34,53,High
3,8.9,8101,19.4,27,51,High
7,8.7,14869,17.4,57,61,High
5,9.5,9073,22.8,53,65,High
4,8.2,9470,24.0,27,66,High
2,6.1,1694,32.1,36,81,Low
3,5.0,14644,21.0,43,90,High
7,6.4,16696,27.9,15,63,High
2,5.0,13458,33.7,31,56,High
0,5.5,19348,23.3,50,55,High
5,8.7,16007,27.1,44,53,High
3,6.1,19256,16.8,60,78,High
0,9.7,14060,23.1,42,55,High
4,7.6,8011,27.6,55,59,High
0,7.8,7258,17.5,19,67,High
5,8.8,14615,26.1,31,55,High
0,9.5,19344,32.4,44,57,High
2,8.4,6004,28.5,46,84,Medium
0,9.9,1304,30.6,28,86,Medium
1,6.1,19230,25.9,33,64,High
0,4.9,13500,32.2,45,84,Medium
1,4.6,7131,34.1,18,59,Medium
2,6.1,10264,26.2,43,72,High
4,9.8,3038,24.1,24,58,High
7,8.0,8196,30.7,40,74,High
2,4.2,1090,19.0,22,57,Medium
2,5.9,6527,27.3,19,90,Medium
5,4.4,3225,20.4,38,65,High
5,4.2,6599,19.6,48,87,High
7,9.4,3155,21.8,29,82,High
0,9.7,12402,26.7,22,79,High
0,5.8,4920,18.1,33,60,Medium
6,6.0,13972,30.5,56,58,High
1,8.6,3156,29.8,17,51,High
4,7.3,18815,33.1,49,51,High
6,7.9,19672,21.9,44,55,High
6,5.3,16190,34.8,17,61,High
0,4.1,5594,26.8,15,89,Low
3,9.4,12188,27.5,28,84,High
6,6.3,6567,18.5,15,63,High
2,6.4,16451,18.2,38,77,High
4,8.2,4473,27.1,58,76,High
4,6.8,10355,21.4,41,69,High
0,4.6,11397,17.5,40,55,High
0,10.0,3852,25.3,33,59,High
0,4.4,15673,26.0,37,67,High
1,6.1,10557,18.1,47,81,High
3,5.2,5266,21.8,40,64,High
1,7.0,12056,24.7,32,64,High
6,8.3,19457,24.2,27,89,High
0,8.8,9259,19.0,38,64,High
3,6.6,2667,27.3,40,54,High
4,9.1,11622,33.6,38,69,High
4,6.8,3362,30.0,52,90,Medium
3,6.0,16578,30.5,37,60,High
0,9.7,8618,32.8,30,53,High
0,8.5,7186,30.3,38,81,Medium
4,8.1,12894,23.1,50,81,High
7,9.9,19226,32.8,57,59,High
3,7.1,4418,29.5,17,67,High
4,4.8,13991,30.8,15,89,High
1,6.4,11450,25.0,30,50,High
4,4.1,11182,34.4,29,63,High
5,5.2,6511,34.8,60,69,Medium
6,6.9,1458,21.6,23,54,High
6,7.4,4455,31.9,43,67,High
7,6.6,2887,21.2,31,85,High
7,7.0,15792,23.2,53,90,High
5,4.4,5716,21.2,27,57,High
5,6.5,7901,28.6,35,82,High
1,7.6,8882,18.3,51,69,High
5,5.5,15585,28.6,57,67,High
6,7.1,11162,27.3,41,87,High
7,9.6,7152,30.0,30,68,High
3,5.0,16780,33.1,59,64,High
6,4.3,1389,18.7,22,67,High
5,7.5,17044,20.9,47,68,High
2,5.2,18940,34.6,49,60,High
4,7.3,7295,20.4,37,70,High
2,9.8,19805,26.8,23,60,High
5,7.0,19688,16.2,20,59,High
7,5.9,11947,19.4,53,90,High
0,4.1,6728,21.3,30,68,Medium
7,8.0,16088,32.4,38,61,High
5,8.9,4448,31.9,23,75,High
7,9.5,5488,34.3,29,82,High
4,8.6,15590,16.9,20,82,High
1,6.6,9399,19.8,30,66,High
2,9.1,19769,33.3,24,82,High
3,4.1,8811,26.3,48,55,High
1,6.2,8889,28.6,60,67,Medium
4,5.9,6275,23.9,60,78,High
4,5.5,7436,25.5,27,87,High
4,5.1,8708,28.6,18,61,High
5,6.7,3518,19.1,25,90,High
7,6.4,3838,23.9,21,85,High
3,9.4,13192,26.3,56,58,High
4,9.3,14874,29.1,41,80,High
7,6.9,9090,26.5,43,56,High
4,8.9,7455,27.2,53,52,High
6,8.1,17069,20.0,37,65,High
4,6.7,19214,24.8,37,55,High
4,7.1,1572,19.4,60,64,High
6,8.8,2668,33.0,35,58,High
2,10.0,10342,29.5,19,58,High
2,7.9,16312,17.6,29,89,High
2,6.6,11384,17.0,17,83,High
7,4.9,13478,28.3,21,65,High
0,7.8,11715,27.6,16,78,High
0,8.6,7893,34.6,25,88,Medium
0,4.2,2976,26.3,16,88,Low
0,4.4,10191,20.0,30,59,High
0,7.3,8705,31.6,50,68,Medium
3,7.0,18836,19.5,30,87,High
4,4.3,1273,18.4,40,54,Medium
3,6.6,3129,23.6,57,50,High
5,6.6,17910,34.0,55,74,High
4,4.5,3461,16.6,29,87,Medium
2,7.2,4122,33.3,15,60,Medium
6,8.7,18615,22.9,49,68,High
3,9.4,18035,34.5,48,81,High
6,9.3,19689,22.4,59,69,High
3,7.1,5386,32.1,45,55,High
3,8.0,6100,21.4,26,83,High
5,5.5,11996,34.2,57,63,High
4,7.6,18590,32.8,60,82,High
4,5.7,15648,21.6,58,83,High
3,5.4,11605,28.5,21,90,High
7,8.1,5707,32.5,32,75,High
1,6.5,19313,18.4,28,89,High
6,7.2,16582,17.9,44,57,High
0,9.6,16459,26.6,57,73,High
2,7.4,3794,24.9,27,83,Medium
1,9.4,5655,33.8,28,86,Medium
0,8.4,4092,34.1,16,89,Medium
0,8.8,15556,28.6,42,66,High
5,4.9,7263,17.4,39,74,High
4,4.5,16515,23.9,26,50,High
6,5.0,7333,23.3,56,68,High
0,9.9,8341,32.8,51,64,Medium
6,4.8,12904,33.1,51,73,High
3,6.3,8312,33.5,59,71,Medium
7,6.7,6090,30.8,46,86,High
3,4.5,8087,25.1,27,60,High
3,7.9,5990,28.9,29,85,High
5,9.3,14860,19.8,56,90,High
1,8.1,7133,18.6,41,64,High
5,8.6,19246,20.1,48,90,High
7,6.4,13235,34.6,18,85,High
2,5.2,11524,25.6,26,67,High
3,10.0,7517,17.7,15,82,High
2,7.6,15888,30.2,26,89,High
3,6.6,17616,33.5,52,63,High
0,4.2,14231,17.4,35,61,High
5,7.9,4780,29.4,52,62,High
7,6.7,3158,33.4,45,63,High
3,5.2,8157,29.7,44,56,High
0,4.5,13621,17.4,21,79,High
1,5.3,9418,29.6,25,85,Medium
6,7.6,10973,28.5,21,71,High
7,7.5,3711,25.9,21,74,High
3,5.4,15630,17.4,60,50,High
4,7.1,18944,21.2,32,61,High
7,9.4,14198,20.1,22,88,High
4,4.3,13360,24.7,39,71,High
0,8.6,4400,23.5,31,70,Medium
3,5.1,10706,28.8,37,71,High
6,4.9,13971,28.8,48,78,High
3,4.3,18863,19.3,54,82,High
7,6.3,1444,28.9,15,83,High
3,8.0,13876,27.0,56,66,High
0,7.6,9507,25.7,48,85,Medium
4,9.9,9214,23.4,18,83,High
5,4.6,16006,31.3,58,60,High
6,9.2,4761,27.5,41,68,High
1,5.9,19234,34.6,41,56,High
3,7.1,18273,29.4,49,50,High
4,7.4,11113,30.5,53,60,High
1,5.3,18807,17.4,15,83,High
5,9.3,17470,23.2,48,74,High
0,5.9,5283,29.2,30,72,Medium
5,9.4,14344,21.2,51,81,High
2,9.4,17776,23.3,48,75,High
5,6.8,17024,30.5,22,60,High
4,8.4,7995,30.3,24,60,High
4,9.5,12474,16.8,22,62,High
2,7.8,6429,17.2,50,61,High
4,5.9,12154,20.0,26,84,High
7,7.0,6407,34.5,47,56,High
7,8.1,13697,26.0,35,66,High
3,4.8,18711,34.4,49,79,High
1,8.2,4422,32.5,18,51,High
0,7.9,15452,25.2,35,62,High
1,9.8,8973,31.3,35,58,High
1,9.7,4743,20.1,45,64,High
5,8.8,11740,27.9,58,66,High
0,8.8,8636,24.1,43,60,High
0,6.5,13155,24.6,24,78,High
1,8.4,10313,27.6,31,62,High
0,5.6,11569,16.9,47,65,Medium
7,9.0,14713,25.3,47,63,High
1,8.0,4422,20.7,29,88,Medium
2,5.5,9624,30.4,51,64,Medium
2,7.1,10303,23.3,43,83,High
2,7.4,4284,21.2,52,60,High
4,8.5,19011,28.3,60,65,High
7,8.7,10251,22.2,27,59,High
3,7.0,6550,26.6,53,62,High
1,6.9,12637,21.4,55,78,High
4,8.4,2138,25.2,45,87,High
0,4.9,12018,28.7,40,76,Medium
0,7.3,18296,34.7,38,75,High
5,7.2,14318,29.1,21,58,High
7,5.3,8841,34.2,19,85,High
5,9.3,9817,34.0,45,68,High
7,6.1,14810,34.3,57,90,High
3,9.0,17790,20.0,31,77,High
6,8.1,10363,26.8,42,82,High
1,4.2,18527,31.7,58,65,High
4,6.2,14321,23.8,20,67,High
7,9.9,4417,34.7,59,54,High
6,4.3,19934,16.5,27,75,High
3,9.7,16604,32.6,48,73,High
0,7.3,14058,26.1,51,82,High
0,6.5,10865,29.7,48,83,Medium
2,4.2,5352,34.0,51,52,Low
7,7.9,10891,34.8,47,61,High
1,4.6,12759,32.3,60,79,Medium
4,8.8,7881,25.2,47,77,High
2,6.9,13648,23.7,30,57,High
3,8.5,14810,21.8,26,51,High
3,9.4,11751,17.3,22,89,High
7,5.3,19890,29.2,19,55,High
4,5.9,19899,27.9,31,69,High
7,4.9,12587,30.4,52,61,High
5,5.7,9269,34.4,29,52,High
3,8.2,13387,33.0,46,86,High
6,7.1,19937,24.0,41,67,High
6,7.0,18588,25.1,55,77,High
4,4.1,7488,28.4,49,55,High
7,6.4,7710,21.9,55,51,High
2,4.8,12044,18.7,37,87,High
7,4.2,13747,32.3,38,82,High
7,7.1,1341,25.5,55,72,High
4,8.9,11601,17.7,55,50,High
3,7.8,9774,23.9,33,55,High
1,6.3,19425,22.8,28,53,High
2,6.4,11584,20.5,55,62,High
4,5.3,14708,30.8,58,56,High
6,7.0,8768,32.2,36,90,High
5,7.5,14825,17.0,27,62,High
1,9.2,1835,22.3,30,80,High
2,4.6,19408,32.0,60,86,High
0,4.5,15726,31.4,47,85,Medium
2,8.7,17500,31.0,30,88,High
5,5.9,13319,33.3,54,60,High
5,7.4,16136,18.4,16,68,High
6,7.7,10664,18.8,53,72,High
4,7.5,3025,22.4,23,72,High
3,8.6,14329,31.5,41,62,High
2,5.4,9082,24.5,24,77,High
6,9.2,8884,30.4,41,81,High
4,4.4,18782,16.1,24,83,High
0,4.6,16316,29.0,45,82,High
0,8.0,4176,29.4,55,77,Low
0,4.4,16002,27.4,24,81,High
6,5.1,16253,23.6,41,74,High
2,4.5,3675,17.0,26,56,Medium
3,5.7,3503,26.5,16,63,High
4,6.1,3443,16.0,39,77,Medium
0,5.1,3332,24.6,23,60,Medium
2,4.3,5525,30.2,19,61,Medium
4,7.4,13182,29.8,16,65,High
7,4.1,5951,23.0,50,61,High
0,7.2,7860,19.3,57,67,Medium
3,8.6,15710,26.6,40,72,High
6,6.9,2259,29.2,48,54,High
5,8.6,15811,23.3,22,82,High
7,6.6,17949,21.8,47,81,High
3,6.7,18692,16.3,60,63,High
6,7.4,10786,20.8,54,72,High
4,4.0,17434,34.2,17,55,High
0,6.9,5505,19.4,21,70,Medium
7,4.3,1160,32.1,57,51,Medium
7,10.0,11584,18.5,15,68,High
5,4.9,18587,29.5,35,75,High
4,5.1,19395,17.1,36,57,High
2,7.3,18206,20.9,60,51,High
1,5.9,2560,26.2,15,57,Medium
1,5.8,19445,18.7,41,81,High
2,5.6,13828,31.9,55,56,High
3,4.5,6159,16.3,59,67,Medium
3,6.5,12395,23.7,48,84,High
7,8.3,3517,33.6,36,66,High
3,7.6,8165,29.9,40,88,High
6,8.1,7343,22.1,40,73,High
6,5.1,1419,27.7,44,67,High
6,6.7,13565,16.9,17,62,High
4,5.0,9475,26.9,56,65,High
0,9.9,1805,29.3,56,67,Medium
6,6.8,18291,30.0,37,66,High
1,4.9,15767,32.0,33,51,High
7,7.0,11218,32.9,55,65,High
7,9.9,1826,30.5,15,75,High
5,6.2,13046,19.5,42,55,High
1,9.2,14542,23.6,40,88,High
3,7.5,14607,29.8,17,87,High
6,6.3,14234,19.2,41,62,High
5,4.7,14768,27.2,27,61,High
6,5.4,2747,31.5,31,76,High
0,4.8,17055,27.0,17,70,High
4,9.7,16048,31.1,43,53,High
0,4.5,16616,34.5,47,87,Medium
7,5.0,5697,32.8,25,78,High
1,9.8,9558,26.9,35,81,High
0,5.7,8918,26.3,29,50,High
7,8.2,13199,27.4,38,63,High
1,4.8,19061,18.3,45,72,High
5,8.9,4886,29.4,27,84,High
7,9.5,4081,25.8,17,53,High
5,9.7,6476,30.4,51,70,High
3,5.7,3572,29.0,51,53,Medium
5,7.4,12714,32.9,31,72,High
5,9.2,18242,32.7,19,55,High
4,5.5,6735,32.4,20,69,High
5,4.7,18799,30.6,20,57,High
2,7.4,7644,20.1,55,51,High
0,9.6,13914,27.1,29,51,High
2,9.4,5039,31.7,39,64,High
1,4.6,3472,24.9,53,51,Medium
4,6.2,17114,30.5,18,67,High
6,9.1,19807,34.7,27,88,High
7,4.9,17780,33.7,25,75,High
6,5.9,13920,16.4,41,55,High
7,6.6,17010,33.9,42,53,High
4,4.4,19892,23.3,21,87,High
7,8.9,9913,20.7,24,72,High
6,5.3,11797,19.2,23,72,High
4,6.3,10391,20.4,24,55,High
7,5.2,1777,26.3,54,85,High
2,10.0,18558,22.9,20,56,High
0,9.8,10631,34.9,26,77,High
0,6.6,16622,24.2,25,57,High
0,9.4,12706,27.8,58,62,High
7,4.2,15460,19.4,27,68,High
5,4.1,5059,23.5,30,64,High
7,6.4,3191,29.4,27,74,High
7,8.2,18715,33.8,60,55,High
7,4.8,7439,27.8,34,73,High
2,8.3,3405,31.2,47,62,Medium
3,8.8,9365,34.2,42,68,High
4,8.5,6886,34.8,41,62,High
5,9.4,4283,17.7,57,81,High
4,8.0,7389,33.5,26,88,High
2,6.4,11050,24.5,48,73,High
5,5.1,16138,32.6,40,55,High
0,6.1,6373,18.4,33,76,Medium
0,7.8,18103,25.3,59,84,High
1,9.2,9284,24.9,31,66,High
4,9.3,9837,17.9,34,58,High
6,6.3,2764,22.8,16,53,High
7,7.5,18070,24.0,31,89,High
6,9.7,18239,31.3,20,59,High
5,7.8,2418,20.1,25,57,High
7,6.5,15537,31.4,51,54,High
2,7.5,6504,16.7,23,58,High
6,4.8,19863,34.4,19,58,High
0,5.2,9675,29.3,26,57,Medium
4,4.8,11007,33.8,24,58,High
6,7.2,2569,32.7,43,66,High
0,4.7,9076,17.9,39,55,Medium
4,8.8,8796,29.6,60,72,High
6,9.0,7046,20.7,27,85,High
2,5.8,15718,26.6,56,74,High
5,8.2,19400,34.1,35,83,High
6,8.7,16245,26.8,57,72,High
2,8.1,18112,29.9,19,66,High
3,8.4,7138,25.1,17,64,High
0,9.7,9765,22.4,16,56,High
7,9.2,19750,33.7,52,68,High
4,4.2,12369,28.0,35,52,High
5,4.0,16277,18.3,43,54,High
2,6.7,3910,18.8,31,89,Medium
6,5.5,17696,25.4,41,71,High
7,7.9,11072,16.2,33,88,High
0,8.4,10142,33.8,46,86,Medium
